ukbb_code,ukbb_name,input_column,category,type,allowed_values,generates_missing_flag,in_srdc_poc,in_abacus_poc,cap_lo,cap_hi,notes,selected_k50
24014-0.0,Average 24h noise,Average 24h noise 0.0,environment,categorical,No | Yes,False,True,False,,,,False
1448-0.0,Bread type,Bread type 0.0,diet,categorical,White | Brown | None | Other type of bread | Unknown | Wholemeal or wholegrain,False,True,True,,,,True
1468-0.0,Cereal type,Cereal type 0.0,diet,categorical,"Other (e.g. Cornflakes, Frosties) | Biscuit cereal (e.g. Weetabix) | Bran cereal (e.g. All Bran, Branflakes) | Muesli | None | Oat cereal (e.g. Ready Brek, porridge) | Unknown",False,True,True,,,,False
1508-0.0,Coffee type,Coffee type 0.0,diet,categorical,"Instant coffee | Decaffeinated coffee (any type) | Ground coffee (include espresso, filter etc) | None | Other type of coffee | Unknown",False,True,True,,,,False
20117-0.0,Drinker status,Drinker status 0.0,substance_use,categorical,Never | Current | Previous | Unknown,False,True,True,,,,False
2000-0.0,Embarrassment,Embarrassment 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
derived,Ethnic_recode,Ethnic_recode,demographics,categorical,White_British | Asian | Black | Mixed | Other | White_Other,False,True,True,,,Recoded from Ethnic background (21000). Values: White_British | Asian | Black | Mixed | Other | White_Other,True
1960-0.0,Fed-up feelings,Fed-up feelings 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
2463-0.0,Fractured bones,Fractured bones 0.0,health_status,categorical,No | Unknown | Yes,False,True,True,,,,True
2030-0.0,Guilty feelings,Guilty feelings 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
2247-0.0,Hearing difficulty,Hearing difficulty 0.0,health_status,categorical,No | Unknown | Yes,False,True,True,,,,True
22032-0.0,IPAQ Activity Category,IPAQ Activity Category,physical_activity,categorical,Low | High | Moderate,False,True,True,,,,False
1940-0.0,Irritability,Irritability 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,False
2020-0.0,Loneliness,Loneliness 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,False
1787-0.0,Maternal smoking around birth,Maternal smoking around birth 0.0,early_life,categorical,No | Unknown | Yes,True,True,True,,,,True
1418-0.0,Milk type,Milk type 0.0,diet,categorical,Low-fat | Full-fat | None/Other | Plant-based | Unknown,False,True,True,,,,False
1930-0.0,Miserableness,Miserableness 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
1920-0.0,Mood swings,Mood swings 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
2010-0.0,Nerves,Nerves 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
1970-0.0,Nervous feelings,Nervous feelings 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,False
1249-0.0,Past tobacco smoking,Past tobacco smoking 0.0,substance_use,categorical,I have never smoked | Just tried once or twice | Smoked occasionally | Smoked on most or all days | Unknown,False,True,True,,,,True
2040-0.0,Risk taking,Risk taking 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
1950-0.0,Sensitivity,Sensitivity 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
31-0.0,Sex,Sex 0.0,demographics,categorical,Female | Male,False,True,True,,,,False
1717-0.0,Skin colour,Skin colour 0.0,early_life,categorical,Fair | Black | Brown | Dark olive | Light olive | Unknown | Very fair,False,True,True,,,,False
20116-0.0,Smoking status,Smoking status 0.0,substance_use,categorical,Never | Current | Previous | Unknown,False,True,True,,,,True
1210-0.0,Snoring,Snoring 0.0,sleep,categorical,No | Unknown | Yes,True,True,True,,,,True
1428-0.0,Spread type,Spread type 0.0,diet,categorical,Butter | None | Other/Margarine | Unknown,False,True,True,,,,True
924-0.0,Usual walking pace,Usual walking pace 0.0,physical_activity,categorical,Steady average pace | Brisk pace | Slow pace | Unknown,False,True,True,,,,True
1980-0.0,Worrier feelings,Worrier feelings 0.0,mental_health,categorical,No | Unknown | Yes,True,True,True,,,,True
2110-0.0,Able to confide,Able to confide 0.0,social,continuous,,False,True,True,0.0,7.0,,True
680-0.0,Accommodation own/rent,Accommodation own/rent 0.0,socioeconomic,continuous,,False,True,True,,,,False
670-0.0,Accommodation type,Accommodation type 0.0,socioeconomic,continuous,,False,True,True,,,,False
1767-0.0,Adopted as child,Adopted as child 0.0,early_life,continuous,,False,True,True,,,,False
21003-0.0,Age,Age 0.0,demographics,continuous,,False,True,True,,,,True
845-0.0,Age completed education,Age completed education 0.0,socioeconomic,continuous,,False,True,True,,,,False
3436-0.0,Age started smoking current,Age started smoking current 0.0,substance_use,continuous,,False,True,True,,,,False
2867-0.0,Age started smoking former,Age started smoking former 0.0,substance_use,continuous,,False,True,True,,,,False
30620-0.0,Alanine aminotransferase,Alanine aminotransferase 0.0,blood_marker,continuous,,False,True,False,4.7159,137.9353,,True
30600-0.0,Albumin,Albumin 0.0,blood_marker,continuous,,False,True,False,35.7864,53.97,,True
1558-0.0,Alcohol intake frequency,Alcohol intake frequency_num,substance_use,continuous,,False,True,True,0.0,7.0,,True
30610-0.0,Alkaline phosphatase,Alkaline phosphatase 0.0,blood_marker,continuous,,False,True,False,27.0,251.699,,True
30630-0.0,Apolipoprotein A,Apolipoprotein A 0.0,blood_marker,continuous,,False,True,False,,,,True
30640-0.0,Apolipoprotein B,Apolipoprotein B 0.0,blood_marker,continuous,,False,True,False,,,,False
30650-0.0,Aspartate aminotransferase,Aspartate aminotransferase 0.0,blood_marker,continuous,,False,True,False,11.1,117.4415,,True
24012-0.0,Average daytime noise,Average daytime noise 0.0,environment,continuous,,False,True,False,0.0002,0.13,,True
21001-0.0,BMI,BMI 0.0,anthropometry,continuous,,False,True,True,16.8364,53.2678,,True
23104-0.0,BMI impedance,BMI impedance 0.0,clinical_measurement,continuous,,False,True,False,,,,False
23105-0.0,Basal metabolic rate,Basal metabolic rate 0.0,clinical_measurement,continuous,,False,True,False,,,,False
30160-0.0,Basophil count,Basophil count 0.0,blood_marker,continuous,,False,True,False,0.0,0.71,,True
30220-0.0,Basophil percentage,Basophil percentage 0.0,blood_marker,continuous,,False,True,False,0.0,10.0,,True
1369-0.0,Beef intake,Beef intake_num,diet,continuous,,False,True,True,0.0,4.0,,True
23099-0.0,Body fat %,Body fat % 0.0,clinical_measurement,continuous,,False,True,False,,,,False
23101-0.0,Body fat-free mass,Body fat-free mass 0.0,clinical_measurement,continuous,,False,True,False,32.7,69.5,,True
1438-0.0,Bread intake,Bread intake 0.0,diet,continuous,,False,True,True,0.0,42.0,,True
1677-0.0,Breastfed as baby,Breastfed as baby 0.0,early_life,continuous,,False,True,True,,,,False
30710-0.0,C-reactive protein,C-reactive protein 0.0,blood_marker,continuous,,False,True,False,0.09,45.5691,,True
30680-0.0,Calcium,Calcium 0.0,blood_marker,continuous,,False,True,False,2.068,2.8124,,True
1458-0.0,Cereal intake,Cereal intake 0.0,diet,continuous,,False,True,True,0.0,14.0,,True
1408-0.0,Cheese intake,Cheese intake_num,diet,continuous,,False,True,True,0.0,5.0,,True
30690-0.0,Cholesterol,Cholesterol 0.0,blood_marker,continuous,,False,True,False,2.8626,9.9734,,True
1180-0.0,Chronotype,Chronotype_num,sleep,continuous,,True,True,True,-2.0,2.0,,True
24015-0.0,Close to major road,Close to major road 0.0,environment,continuous,,False,True,False,0.0,562.3172,,False
1498-0.0,Coffee intake,Coffee intake 0.0,diet,continuous,,False,True,True,0.0,14.0,,True
1289-0.0,Cooked vegetable intake,Cooked vegetable intake 0.0,diet,continuous,,False,True,True,0.0,20.0,,True
30700-0.0,Creatinine,Creatinine 0.0,blood_marker,continuous,,False,True,False,37.4,131.179,,True
30510-0.0,Creatinine in urine,Creatinine in urine 0.0,urinalysis,continuous,,False,True,False,890.828,35022.408,,True
30720-0.0,Cystatin C,Cystatin C 0.0,blood_marker,continuous,,False,True,False,0.518,1.8059,,True
1190-0.0,Day nap,Day nap_num,sleep,continuous,,False,True,True,0.0,3.0,,True
864-0.0,Days moderate activity,Days moderate activity 0.0,physical_activity,continuous,,False,True,True,0.0,7.0,,True
884-0.0,Days vigorous activity,Days vigorous activity 0.0,physical_activity,continuous,,False,True,True,0.0,7.0,,True
904-0.0,Days walking,Days walking 0.0,physical_activity,continuous,,False,True,True,0.0,7.0,,True
1220-0.0,Daytime dozing,Daytime dozing_num,sleep,continuous,,False,True,True,0.0,4.0,,True
6149-0.0,Dental problems,Dental problems 0.0,health_status,continuous,,False,True,True,,,,False
4620-0.0,Depression episodes,Depression episodes 0.0,mental_health,continuous,,False,True,True,,,,False
4079-0.0,Diastolic BP automated,Diastolic BP automated 0.0,vital_signs,continuous,,False,True,False,,,,False
94-0.0,Diastolic BP manual,Diastolic BP manual 0.0,vital_signs,continuous,,False,True,False,,,,False
1140-0.0,Difference phone use,Difference phone use_num,screen_time,continuous,,False,True,True,-1.0,1.0,,True
30660-0.0,Direct bilirubin,Direct bilirubin 0.0,blood_marker,continuous,,False,True,False,,,,True
