disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Osteoarthritis,Osteoporosis,validated,9423,37,0.00393,37,69.78,0.53,0.37,0.708,bootstrap,below_1,0.7713,0.7037,0.8352,0.6564,0.1149,True,0.00393
Heart Failure,Atrial Fibrillation,validated,12100,79,0.00653,79,24.18,3.267,2.638,3.988,bootstrap,above_1,0.7533,0.7001,0.8028,0.6433,0.11,True,0.006462
Stroke Cerebrovascular,Atrial Fibrillation,validated,11784,54,0.00458,54,23.41,2.306,1.741,2.946,bootstrap,above_1,0.7236,0.6588,0.7866,0.6315,0.0921,True,0.00456
Hypertension,Atrial Fibrillation,validated,5241,30,0.00572,30,26.75,1.122,0.733,1.534,bootstrap,includes_1,0.7113,0.6269,0.7943,0.63,0.0813,True,0.005696
Hypertension,Osteoarthritis,validated,4463,35,0.00784,35,65.68,0.533,0.36,0.714,bootstrap,below_1,0.7079,0.614,0.796,0.5609,0.147,True,0.00789
Atrial Fibrillation,Osteoarthritis,validated,9948,56,0.00563,56,94.4,0.593,0.44,0.749,bootstrap,below_1,0.7056,0.6445,0.7681,0.5484,0.1572,True,0.005639
Coronary Heart Disease,Heart Failure,validated,11516,57,0.00495,57,24.17,2.359,1.767,2.983,bootstrap,above_1,0.6994,0.6256,0.7686,0.6046,0.0948,True,0.004924
Coronary Heart Disease,Osteoarthritis,validated,9490,43,0.00453,43,99.24,0.433,0.312,0.569,bootstrap,below_1,0.6895,0.6089,0.7605,0.5802,0.1093,True,0.004599
Atrial Fibrillation,Cancer Other,validated,11281,40,0.00355,40,29.24,1.368,0.968,1.836,bootstrap,includes_1,0.6892,0.5995,0.7788,0.5839,0.1053,True,0.00352
Coronary Heart Disease,Atrial Fibrillation,validated,11401,70,0.00614,70,44.13,1.586,1.226,1.964,bootstrap,above_1,0.6756,0.6194,0.731,0.6184,0.0572,True,0.006109
