disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Coronary Heart Disease,Heart Failure,Atrial Fibrillation,low_n,11388,26,0.00228,26,2.34,11.12,7.264,16.294,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Cancer Other,low_n,11235,13,0.00116,13,1.27,10.224,5.444,17.483,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Osteoarthritis,low_n,9909,11,0.00111,11,4.05,2.714,1.355,4.855,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Osteoarthritis,low_n,6634,10,0.00151,10,6.23,1.605,0.77,2.951,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,Osteoarthritis,low_n,9470,10,0.00106,10,3.86,2.588,1.241,4.759,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Osteoarthritis,low_n,9382,10,0.00107,10,6.9,1.449,0.695,2.664,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Atrial Fibrillation,low_n,7881,9,0.00114,9,3.01,2.989,1.367,5.674,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Atrial Fibrillation,low_n,5102,8,0.00157,8,2.03,3.944,1.703,7.772,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,COPD,low_n,9923,8,0.00081,8,1.37,5.833,2.518,11.494,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Osteoporosis,low_n,11245,8,0.00071,8,1.44,5.574,2.406,10.983,poisson_exact,above_1,,,,,,,
Hypertension,Hyperlipidemia,Coronary Heart Disease,low_n,3945,7,0.00177,7,2.2,3.187,1.281,6.566,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,COPD,low_n,9485,7,0.00074,7,1.37,5.097,2.049,10.502,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Osteoporosis,low_n,10609,7,0.00066,7,2.33,3.009,1.21,6.199,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Chronic Kidney Disease,low_n,10719,7,0.00065,7,0.98,7.158,2.878,14.749,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Osteoarthritis,low_n,4351,6,0.00138,6,4.43,1.353,0.497,2.946,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Cancer Other,low_n,7394,6,0.00081,6,1.88,3.2,1.174,6.965,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Heart Failure,low_n,11215,6,0.00053,6,1.25,4.815,1.767,10.481,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,COPD,low_n,9387,6,0.00064,6,2.04,2.937,1.078,6.392,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,COPD,low_n,9670,6,0.00062,6,1.1,5.455,2.002,11.872,poisson_exact,above_1,,,,,,,
Atrial Fibrillation,Osteoarthritis,Cancer Other,low_n,9248,6,0.00065,6,4.45,1.348,0.495,2.935,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Osteoporosis,Cancer Other,low_n,8760,6,0.00068,6,3.09,1.94,0.712,4.221,poisson_exact,includes_1,,,,,,,
Hypertension,Hyperlipidemia,Atrial Fibrillation,low_n,3980,5,0.00126,5,1.84,2.717,0.882,6.34,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Atrial Fibrillation,Osteoarthritis,low_n,6696,5,0.00075,5,5.51,0.908,0.295,2.118,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Atrial Fibrillation,low_n,11112,5,0.00045,5,1.96,2.548,0.827,5.947,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,Cancer Other,low_n,10690,5,0.00047,5,1.22,4.112,1.335,9.596,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Heart Failure,Atrial Fibrillation,low_n,11740,5,0.00043,5,1.28,3.91,1.27,9.126,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Peripheral Vascular Disease,low_n,11690,5,0.00043,5,0.65,7.746,2.515,18.076,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Chronic Kidney Disease,low_n,10985,5,0.00046,5,1.18,4.254,1.381,9.928,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Cancer Lung,low_n,12083,5,0.00041,5,0.44,11.326,3.678,26.432,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Anxiety,low_n,11897,5,0.00042,5,1.71,2.923,0.949,6.822,poisson_exact,includes_1,,,,,,,
Heart Failure,Osteoarthritis,Osteoporosis,low_n,9372,5,0.00053,5,2.53,1.98,0.643,4.62,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Chronic Kidney Disease,Cancer Other,low_n,10274,5,0.00049,5,1.04,4.816,1.564,11.239,poisson_exact,above_1,,,,,,,
Atrial Fibrillation,Depression,Anxiety,low_n,10965,5,0.00046,5,1.36,3.682,1.195,8.592,poisson_exact,above_1,,,,,,,
Hypertension,Diabetes Mellitus,Hyperlipidemia,suppressed,3969,,,,1.37,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Coronary Heart Disease,suppressed,5055,,,,1.44,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Stroke Cerebrovascular,suppressed,5122,,,,0.71,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Heart Failure,suppressed,5191,,,,0.79,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Atrial Fibrillation,suppressed,5151,,,,1.27,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Peripheral Vascular Disease,suppressed,5165,,,,0.4,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,COPD,suppressed,4240,,,,0.73,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Kidney Disease,suppressed,4900,,,,0.71,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Liver Disease,suppressed,5087,,,,0.32,,,,,,,,,,,,
