disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Heart Failure,Atrial Fibrillation,validated,12100,79,0.00653,79,28.07,2.815,2.262,3.48,bootstrap,above_1,0.8128,0.7681,0.8543,0.6433,0.1695,True,0.006475
Coronary Heart Disease,Heart Failure,validated,11516,57,0.00495,57,26.6,2.142,1.619,2.73,bootstrap,above_1,0.7996,0.7448,0.8463,0.6046,0.195,True,0.00485
Stroke Cerebrovascular,Atrial Fibrillation,validated,11784,54,0.00458,54,24.63,2.192,1.634,2.799,bootstrap,above_1,0.7614,0.7093,0.8149,0.6315,0.1299,True,0.004564
Atrial Fibrillation,Osteoarthritis,validated,9948,56,0.00563,56,89.86,0.623,0.461,0.789,bootstrap,below_1,0.755,0.6914,0.8161,0.5484,0.2066,True,0.005616
Osteoarthritis,Osteoporosis,validated,9423,37,0.00393,37,68.2,0.542,0.377,0.721,bootstrap,below_1,0.7486,0.6693,0.8194,0.6564,0.0922,True,0.003907
Atrial Fibrillation,Cancer Other,validated,11281,40,0.00355,40,29.61,1.351,0.956,1.793,bootstrap,includes_1,0.7409,0.6545,0.8212,0.5839,0.157,True,0.003523
Coronary Heart Disease,Atrial Fibrillation,validated,11401,70,0.00614,70,43.72,1.601,1.232,1.992,bootstrap,above_1,0.7249,0.6644,0.7854,0.6184,0.1065,True,0.006087
Hypertension,Atrial Fibrillation,validated,5241,30,0.00572,30,29.55,1.015,0.66,1.397,bootstrap,includes_1,0.7011,0.5991,0.8023,0.63,0.0711,True,0.00571
Coronary Heart Disease,Osteoarthritis,validated,9490,43,0.00453,43,99.84,0.431,0.31,0.562,bootstrap,below_1,0.6995,0.6171,0.7709,0.5802,0.1193,True,0.00455
Osteoarthritis,Cancer Other,validated,9385,49,0.00522,49,72.2,0.679,0.504,0.879,bootstrap,below_1,0.6993,0.6262,0.7723,0.5732,0.1261,True,0.005182
Hyperlipidemia,Atrial Fibrillation,validated,8047,30,0.00373,30,30.88,0.971,0.63,1.327,bootstrap,includes_1,0.6983,0.5977,0.7832,0.4873,0.211,True,0.003729
Hypertension,Osteoarthritis,validated,4463,35,0.00784,35,81.49,0.429,0.289,0.578,bootstrap,below_1,0.6876,0.6074,0.7632,0.5609,0.1267,True,0.008072
Stroke Cerebrovascular,Osteoarthritis,validated,9798,35,0.00357,35,51.96,0.674,0.471,0.905,bootstrap,below_1,0.682,0.5941,0.7683,0.612,0.07,True,0.003554
Hyperlipidemia,Osteoarthritis,validated,6770,30,0.00443,30,77.15,0.389,0.257,0.534,bootstrap,below_1,0.6797,0.5971,0.7602,0.5423,0.1374,True,0.004519
Hyperlipidemia,Coronary Heart Disease,validated,7961,64,0.00804,64,37.27,1.717,1.312,2.155,bootstrap,above_1,0.6441,0.5663,0.7201,0.5224,0.1217,True,0.007979
Hypertension,Coronary Heart Disease,validated,5138,38,0.0074,38,36.18,1.05,0.729,1.368,bootstrap,includes_1,0.6291,0.542,0.7145,0.5345,0.0946,True,0.007377
Osteoarthritis,Cancer Breast,validated,9474,37,0.00391,37,55.6,0.665,0.465,0.883,bootstrap,below_1,0.622,0.5345,0.7137,0.5194,0.1026,True,0.00389
Diabetes Mellitus,Osteoarthritis,low_n,9573,28,0.00292,28,56.91,0.492,0.327,0.711,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,low_n,11235,26,0.00231,26,25.58,1.016,0.664,1.489,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Cancer Other,low_n,11097,26,0.00234,26,17.25,1.507,0.984,2.208,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Osteoporosis,low_n,11292,26,0.0023,26,29.91,0.869,0.568,1.274,poisson_exact,includes_1,,,,,,,
Heart Failure,Osteoarthritis,low_n,10045,25,0.00249,25,47.56,0.526,0.34,0.776,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Cancer Other,low_n,10709,24,0.00224,24,33.19,0.723,0.463,1.076,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,COPD,low_n,9958,24,0.00241,24,23.16,1.036,0.664,1.542,poisson_exact,includes_1,,,,,,,
Hypertension,Stroke Cerebrovascular,low_n,5212,21,0.00403,21,18.69,1.124,0.696,1.718,poisson_exact,includes_1,,,,,,,
COPD,Osteoarthritis,low_n,8304,21,0.00253,21,49.25,0.426,0.264,0.652,poisson_exact,below_1,,,,,,,
Osteoarthritis,Hypothyroidism,low_n,8988,21,0.00234,21,39.09,0.537,0.333,0.821,poisson_exact,below_1,,,,,,,
Osteoarthritis,Rheumatoid Arthritis,low_n,9852,20,0.00203,20,25.22,0.793,0.484,1.225,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,low_n,10997,19,0.00173,19,29.49,0.644,0.388,1.006,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Cancer Other,low_n,10824,19,0.00176,19,18.99,1.0,0.602,1.562,poisson_exact,includes_1,,,,,,,
Heart Failure,Cancer Other,low_n,11393,19,0.00167,19,16.67,1.14,0.686,1.78,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Anxiety,low_n,9934,19,0.00191,19,70.55,0.269,0.162,0.421,poisson_exact,below_1,,,,,,,
Hyperlipidemia,Stroke Cerebrovascular,low_n,8026,18,0.00224,18,18.91,0.952,0.564,1.504,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Cancer Other,low_n,7552,18,0.00238,18,24.81,0.725,0.43,1.146,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Chronic Kidney Disease,low_n,11014,18,0.00163,18,18.36,0.98,0.581,1.549,poisson_exact,includes_1,,,,,,,
COPD,Cancer Lung,low_n,10102,18,0.00178,18,5.09,3.538,2.097,5.592,poisson_exact,above_1,,,,,,,
Hypertension,Hyperlipidemia,low_n,4007,17,0.00424,17,30.65,0.555,0.323,0.888,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,COPD,low_n,9500,17,0.00179,17,24.86,0.684,0.398,1.095,poisson_exact,includes_1,,,,,,,
