disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Coronary Heart Disease,Heart Failure,Atrial Fibrillation,low_n,11388,26,0.00228,26,3.08,8.439,5.512,12.365,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Cancer Other,low_n,11235,13,0.00116,13,1.73,7.504,3.996,12.832,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Osteoarthritis,low_n,9909,11,0.00111,11,4.69,2.344,1.17,4.195,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Osteoarthritis,low_n,6634,10,0.00151,10,5.43,1.843,0.884,3.39,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,Osteoarthritis,low_n,9470,10,0.00106,10,4.33,2.31,1.108,4.248,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Osteoarthritis,low_n,9382,10,0.00107,10,6.79,1.473,0.706,2.708,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Atrial Fibrillation,low_n,7881,9,0.00114,9,2.55,3.533,1.616,6.707,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Atrial Fibrillation,low_n,5102,8,0.00157,8,2.11,3.791,1.637,7.471,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,COPD,low_n,9923,8,0.00081,8,1.9,4.212,1.818,8.299,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Osteoporosis,low_n,11245,8,0.00071,8,1.94,4.117,1.777,8.112,poisson_exact,above_1,,,,,,,
Hypertension,Hyperlipidemia,Coronary Heart Disease,low_n,3945,7,0.00177,7,2.08,3.372,1.356,6.947,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,COPD,low_n,9485,7,0.00074,7,1.65,4.241,1.705,8.738,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Osteoporosis,low_n,10609,7,0.00066,7,2.39,2.925,1.176,6.026,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Chronic Kidney Disease,low_n,10719,7,0.00065,7,0.76,9.208,3.702,18.971,poisson_exact,above_1,,,,,,,
