disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Osteoarthritis,validated,11967,31,0.00259,31,39.67,0.781,0.522,1.069,bootstrap,includes_1,0.8455,0.778,0.8991,0.6426,0.2029,True,0.00256
Hyperlipidemia,Coronary Heart Disease,validated,16042,43,0.00268,43,14.7,2.925,2.066,3.873,bootstrap,above_1,0.7322,0.6574,0.8086,0.6496,0.0826,True,0.00267
Hypertension,Coronary Heart Disease,low_n,12564,28,0.00223,28,14.19,1.974,1.311,2.852,poisson_exact,above_1,,,,,,,
Osteoarthritis,Cancer Other,low_n,16850,24,0.00142,24,33.44,0.718,0.46,1.068,poisson_exact,includes_1,,,,,,,
Hypertension,Hyperlipidemia,low_n,11404,23,0.00202,23,14.15,1.625,1.03,2.439,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Osteoarthritis,low_n,17322,23,0.00133,23,42.82,0.537,0.34,0.806,poisson_exact,below_1,,,,,,,
Depression,Anxiety,low_n,16712,22,0.00132,22,23.94,0.919,0.576,1.391,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Osteoarthritis,low_n,17051,21,0.00123,21,38.0,0.553,0.342,0.845,poisson_exact,below_1,,,,,,,
Osteoarthritis,Anxiety,low_n,17317,21,0.00121,21,59.08,0.355,0.22,0.543,poisson_exact,below_1,,,,,,,
Hyperlipidemia,Osteoarthritis,low_n,15173,19,0.00125,19,41.07,0.463,0.279,0.722,poisson_exact,below_1,,,,,,,
Depression,Osteoarthritis,low_n,15803,19,0.0012,19,42.48,0.447,0.269,0.699,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,low_n,18497,18,0.00097,18,8.22,2.19,1.298,3.461,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,low_n,17958,17,0.00095,17,14.28,1.19,0.693,1.906,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Osteoporosis,low_n,17315,17,0.00098,17,25.01,0.68,0.396,1.088,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Cancer Breast,low_n,17151,17,0.00099,17,37.75,0.45,0.262,0.721,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Heart Failure,low_n,18542,16,0.00086,16,5.31,3.011,1.721,4.89,poisson_exact,above_1,,,,,,,
Hypertension,Stroke Cerebrovascular,low_n,12546,15,0.0012,15,4.79,3.129,1.751,5.161,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,low_n,18602,15,0.00081,15,2.89,5.193,2.906,8.565,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,COPD,low_n,16722,14,0.00084,14,9.54,1.467,0.802,2.462,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Osteoarthritis,low_n,17541,14,0.0008,14,23.68,0.591,0.323,0.992,poisson_exact,below_1,,,,,,,
Hypertension,Diabetes Mellitus,low_n,12416,13,0.00105,13,12.86,1.011,0.538,1.729,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Hypothyroidism,low_n,16380,13,0.00079,13,27.32,0.476,0.253,0.814,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Hyperlipidemia,low_n,15839,12,0.00076,12,13.86,0.866,0.447,1.513,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Sleep Apnea,low_n,18202,12,0.00066,12,8.93,1.343,0.694,2.346,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Anxiety,low_n,17931,12,0.00067,12,19.32,0.621,0.321,1.085,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,low_n,18360,12,0.00065,12,5.31,2.258,1.167,3.945,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Stroke Cerebrovascular,low_n,16022,11,0.00069,11,4.86,2.265,1.131,4.053,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Anxiety,low_n,18249,11,0.0006,11,21.32,0.516,0.258,0.923,poisson_exact,below_1,,,,,,,
Stroke Cerebrovascular,Osteoarthritis,low_n,17407,11,0.00063,11,15.15,0.726,0.362,1.299,poisson_exact,includes_1,,,,,,,
Heart Failure,Atrial Fibrillation,low_n,18795,11,0.00059,11,3.25,3.38,1.687,6.048,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Chronic Liver Disease,low_n,18031,10,0.00055,10,7.57,1.321,0.633,2.429,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Cancer Other,low_n,17765,10,0.00056,10,10.24,0.976,0.468,1.795,poisson_exact,includes_1,,,,,,,
COPD,Cancer Lung,low_n,16988,10,0.00059,10,1.41,7.1,3.405,13.057,poisson_exact,above_1,,,,,,,
