disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Osteoarthritis,validated,11967,31,0.00259,31,44.92,0.69,0.462,0.949,bootstrap,below_1,0.8442,0.7788,0.904,0.6426,0.2016,True,0.002587
Hyperlipidemia,Coronary Heart Disease,validated,16042,43,0.00268,43,14.15,3.038,2.142,4.05,bootstrap,above_1,0.7231,0.652,0.7858,0.6496,0.0735,True,0.002673
Hypertension,Coronary Heart Disease,low_n,12564,28,0.00223,28,14.98,1.869,1.242,2.701,poisson_exact,above_1,,,,,,,
Osteoarthritis,Cancer Other,low_n,16850,24,0.00142,24,35.46,0.677,0.434,1.007,poisson_exact,includes_1,,,,,,,
Hypertension,Hyperlipidemia,low_n,11404,23,0.00202,23,14.26,1.613,1.023,2.421,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Osteoarthritis,low_n,17322,23,0.00133,23,41.46,0.555,0.352,0.832,poisson_exact,below_1,,,,,,,
Depression,Anxiety,low_n,16712,22,0.00132,22,18.54,1.186,0.743,1.796,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Osteoarthritis,low_n,17051,21,0.00123,21,35.1,0.598,0.37,0.915,poisson_exact,below_1,,,,,,,
Osteoarthritis,Anxiety,low_n,17317,21,0.00121,21,55.72,0.377,0.233,0.576,poisson_exact,below_1,,,,,,,
Hyperlipidemia,Osteoarthritis,low_n,15173,19,0.00125,19,37.63,0.505,0.304,0.789,poisson_exact,below_1,,,,,,,
Depression,Osteoarthritis,low_n,15803,19,0.0012,19,40.36,0.471,0.283,0.735,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,low_n,18497,18,0.00097,18,7.93,2.27,1.345,3.588,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,low_n,17958,17,0.00095,17,12.99,1.309,0.763,2.096,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Osteoporosis,low_n,17315,17,0.00098,17,24.44,0.695,0.405,1.114,poisson_exact,includes_1,,,,,,,
Osteoarthritis,Cancer Breast,low_n,17151,17,0.00099,17,40.33,0.422,0.246,0.675,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Heart Failure,low_n,18542,16,0.00086,16,4.65,3.439,1.966,5.585,poisson_exact,above_1,,,,,,,
Hypertension,Stroke Cerebrovascular,low_n,12546,15,0.0012,15,4.9,3.059,1.712,5.046,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,low_n,18602,15,0.00081,15,3.01,4.986,2.791,8.224,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,COPD,low_n,16722,14,0.00084,14,8.14,1.721,0.941,2.887,poisson_exact,includes_1,,,,,,,
