disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Hyperlipidemia,Coronary Heart Disease,low_n,11370,11,0.00097,11,0.72,15.317,7.646,27.406,poisson_exact,above_1,,,,,,,
Depression,Osteoarthritis,Anxiety,low_n,15693,6,0.00038,6,1.97,3.044,1.117,6.626,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Atrial Fibrillation,low_n,17908,5,0.00028,5,0.41,12.261,3.981,28.614,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Osteoarthritis,Sleep Apnea,low_n,17021,5,0.00029,5,1.19,4.201,1.364,9.803,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Osteoarthritis,low_n,17359,5,0.00029,5,0.39,12.705,4.125,29.649,poisson_exact,above_1,,,,,,,
Osteoarthritis,Osteoporosis,Anxiety,low_n,17041,5,0.00029,5,1.11,4.524,1.469,10.557,poisson_exact,above_1,,,,,,,
Hypertension,Diabetes Mellitus,Hyperlipidemia,suppressed,11274,,,,0.85,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Coronary Heart Disease,suppressed,12353,,,,0.75,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Stroke Cerebrovascular,suppressed,12332,,,,0.22,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Heart Failure,suppressed,12413,,,,0.21,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Atrial Fibrillation,suppressed,12399,,,,0.35,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Peripheral Vascular Disease,suppressed,12365,,,,0.14,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,COPD,suppressed,11204,,,,0.49,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Kidney Disease,suppressed,12284,,,,0.22,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Liver Disease,suppressed,12290,,,,0.42,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Depression,suppressed,11198,,,,0.52,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Substance Use Disorder,suppressed,12369,,,,0.12,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Osteoarthritis,suppressed,11768,,,,1.76,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Rheumatoid Arthritis,suppressed,12219,,,,0.22,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Osteoporosis,suppressed,12230,,,,0.25,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Hypothyroidism,suppressed,11649,,,,0.35,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Sleep Apnea,suppressed,12400,,,,0.45,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Breast,suppressed,12126,,,,0.38,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Lung,suppressed,12408,,,,0.12,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Colorectal,suppressed,12376,,,,0.09,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Other,suppressed,11911,,,,0.41,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Anxiety,suppressed,12233,,,,0.76,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Stroke Cerebrovascular,suppressed,11349,,,,0.21,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Heart Failure,suppressed,11403,,,,0.2,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Atrial Fibrillation,suppressed,11388,,,,0.31,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Peripheral Vascular Disease,suppressed,11359,,,,0.15,,,,,,,,,,,,
Hypertension,Hyperlipidemia,COPD,suppressed,10281,,,,0.36,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Kidney Disease,suppressed,11285,,,,0.29,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Liver Disease,suppressed,11291,,,,0.32,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Depression,suppressed,10351,,,,0.52,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Substance Use Disorder,suppressed,11364,,,,0.12,,,,,,,,,,,,
