disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Diabetes Mellitus,Atrial Fibrillation,validated,9172,35,0.00382,35,52.69,0.664,0.454,0.888,bootstrap,below_1,0.8492,0.7902,0.8976,0.6213,0.2279,True,0.003789
Heart Failure,Peripheral Vascular Disease,validated,10378,30,0.00289,30,20.14,1.49,1.005,2.042,bootstrap,above_1,0.8242,0.7566,0.885,0.6334,0.1908,True,0.002873
Atrial Fibrillation,Chronic Kidney Disease,validated,9391,35,0.00373,35,41.77,0.838,0.574,1.111,bootstrap,includes_1,0.8156,0.7416,0.8795,0.6419,0.1737,True,0.003655
Atrial Fibrillation,COPD,validated,7923,33,0.00417,33,39.15,0.843,0.552,1.138,bootstrap,includes_1,0.8153,0.7352,0.8825,0.6147,0.2006,True,0.004134
Coronary Heart Disease,COPD,validated,7104,35,0.00493,35,35.48,0.987,0.67,1.314,bootstrap,includes_1,0.8126,0.7332,0.8839,0.5342,0.2784,True,0.00485
Atrial Fibrillation,Substance Use Disorder,validated,10155,35,0.00345,35,28.1,1.246,0.861,1.671,bootstrap,includes_1,0.8108,0.7301,0.8795,0.5383,0.2725,True,0.003426
Diabetes Mellitus,Coronary Heart Disease,validated,8327,44,0.00528,44,50.13,0.878,0.643,1.154,bootstrap,includes_1,0.8039,0.7373,0.8663,0.5535,0.2504,True,0.005184
Heart Failure,Chronic Kidney Disease,validated,9593,33,0.00344,33,24.47,1.349,0.927,1.824,bootstrap,includes_1,0.7708,0.6809,0.8494,0.6214,0.1494,True,0.003405
Atrial Fibrillation,Peripheral Vascular Disease,validated,10143,48,0.00473,48,32.15,1.493,1.103,1.956,bootstrap,above_1,0.7462,0.6863,0.8054,0.6189,0.1273,True,0.004701
Coronary Heart Disease,Peripheral Vascular Disease,validated,9104,44,0.00483,44,29.22,1.506,1.077,1.975,bootstrap,above_1,0.7373,0.6677,0.8038,0.6168,0.1205,True,0.004794
Hyperlipidemia,Osteoarthritis,validated,5766,34,0.0059,34,87.4,0.389,0.263,0.511,bootstrap,below_1,0.7184,0.6354,0.8039,0.5027,0.2157,True,0.00596
Heart Failure,Atrial Fibrillation,validated,10191,132,0.01295,132,63.9,2.066,1.713,2.423,bootstrap,above_1,0.7043,0.6568,0.7523,0.6002,0.1041,True,0.012717
Atrial Fibrillation,Osteoarthritis,validated,8992,82,0.00912,82,126.01,0.651,0.517,0.801,bootstrap,below_1,0.7037,0.6518,0.7584,0.5483,0.1554,True,0.009034
Coronary Heart Disease,Heart Failure,validated,9147,101,0.01104,101,56.39,1.791,1.449,2.132,bootstrap,above_1,0.6958,0.6428,0.7459,0.5992,0.0966,True,0.010878
Coronary Heart Disease,Osteoarthritis,validated,8063,75,0.0093,75,121.45,0.618,0.482,0.753,bootstrap,below_1,0.6826,0.6224,0.7449,0.5325,0.1501,True,0.009227
Coronary Heart Disease,Cancer Other,validated,8604,47,0.00546,47,63.85,0.736,0.554,0.928,bootstrap,below_1,0.6605,0.5812,0.7364,0.6575,0.003,True,0.005423
Coronary Heart Disease,Stroke Cerebrovascular,validated,8811,62,0.00704,62,48.78,1.271,0.952,1.584,bootstrap,includes_1,0.6513,0.5814,0.7171,0.59,0.0613,True,0.006961
Coronary Heart Disease,Atrial Fibrillation,validated,8938,143,0.016,143,106.83,1.339,1.119,1.543,bootstrap,above_1,0.6452,0.5962,0.6912,0.5719,0.0733,True,0.015684
Osteoarthritis,Cancer Other,validated,8754,41,0.00468,41,75.63,0.542,0.393,0.701,bootstrap,below_1,0.6419,0.5527,0.7267,0.5631,0.0788,True,0.004677
Hyperlipidemia,Coronary Heart Disease,validated,6346,119,0.01875,119,87.33,1.363,1.123,1.608,bootstrap,above_1,0.6378,0.5938,0.685,0.4915,0.1463,True,0.018375
Stroke Cerebrovascular,Atrial Fibrillation,validated,9831,81,0.00824,81,52.19,1.552,1.227,1.883,bootstrap,above_1,0.6286,0.5703,0.6931,0.6006,0.028,True,0.008163
Hypertension,Coronary Heart Disease,validated,3433,55,0.01602,55,48.64,1.131,0.836,1.418,bootstrap,includes_1,0.6282,0.563,0.7028,0.4755,0.1527,True,0.015808
Stroke Cerebrovascular,Cancer Other,validated,9545,39,0.00409,39,30.59,1.275,0.914,1.704,bootstrap,includes_1,0.6258,0.5345,0.7143,0.6002,0.0256,True,0.004063
Atrial Fibrillation,Cancer Prostate,validated,9976,35,0.00351,35,57.78,0.606,0.398,0.827,bootstrap,below_1,0.6078,0.5127,0.7071,0.5598,0.048,True,0.003501
Cancer Prostate,Cancer Other,validated,9725,37,0.0038,37,36.27,1.02,0.689,1.348,bootstrap,includes_1,0.5825,0.5024,0.6639,0.6216,-0.0391,False,0.003789
Osteoarthritis,Cancer Prostate,validated,9049,42,0.00464,42,67.51,0.622,0.443,0.814,bootstrap,below_1,0.5756,0.4877,0.6594,0.5919,-0.0163,False,0.00463
Atrial Fibrillation,Cancer Other,validated,9664,55,0.00569,55,67.04,0.82,0.613,1.035,bootstrap,includes_1,0.5648,0.486,0.6488,0.5327,0.0321,True,0.005665
Hyperlipidemia,Atrial Fibrillation,validated,6403,44,0.00687,44,77.18,0.57,0.413,0.733,bootstrap,below_1,0.5281,0.4444,0.6109,0.4965,0.0316,True,0.006955
Stroke Cerebrovascular,Substance Use Disorder,low_n,10038,29,0.00289,29,13.11,2.211,1.481,3.176,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Cancer Other,low_n,8912,28,0.00314,28,30.48,0.919,0.61,1.328,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Cancer Prostate,low_n,8886,28,0.00315,28,57.66,0.486,0.323,0.702,poisson_exact,below_1,,,,,,,
Hypertension,Atrial Fibrillation,low_n,3497,27,0.00772,27,43.26,0.624,0.411,0.908,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Chronic Kidney Disease,low_n,8462,27,0.00319,27,38.55,0.7,0.462,1.019,poisson_exact,includes_1,,,,,,,
