disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Coronary Heart Disease,Heart Failure,Atrial Fibrillation,validated,8922,42,0.00471,42,7.53,5.579,4.016,7.264,bootstrap,above_1,0.6714,0.5753,0.7544,0.6121,0.0593,True,0.004696
Hyperlipidemia,Coronary Heart Disease,Atrial Fibrillation,low_n,6214,22,0.00354,22,9.67,2.275,1.426,3.445,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Atrial Fibrillation,low_n,8602,20,0.00233,20,5.73,3.491,2.132,5.391,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Osteoarthritis,low_n,7857,18,0.00229,18,13.72,1.312,0.778,2.074,poisson_exact,includes_1,,,,,,,
Heart Failure,Atrial Fibrillation,Peripheral Vascular Disease,low_n,10046,15,0.00149,15,3.05,4.922,2.755,8.118,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Chronic Kidney Disease,low_n,9319,15,0.00161,15,3.71,4.044,2.263,6.67,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Osteoarthritis,low_n,8908,13,0.00146,13,8.81,1.476,0.786,2.523,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Heart Failure,low_n,6327,12,0.0019,12,5.29,2.267,1.172,3.961,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Peripheral Vascular Disease,low_n,9069,12,0.00132,12,2.43,4.928,2.547,8.609,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Chronic Kidney Disease,low_n,8437,12,0.00142,12,2.93,4.098,2.117,7.158,poisson_exact,above_1,,,,,,,
Hypertension,Hyperlipidemia,Coronary Heart Disease,low_n,2839,11,0.00387,11,5.31,2.073,1.035,3.709,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Peripheral Vascular Disease,low_n,8865,11,0.00124,11,3.71,2.965,1.48,5.305,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Heart Failure,Atrial Fibrillation,low_n,9090,10,0.0011,10,4.54,2.205,1.057,4.055,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Osteoarthritis,low_n,5588,10,0.00179,10,10.59,0.944,0.453,1.737,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Heart Failure,Atrial Fibrillation,low_n,9739,10,0.00103,10,4.05,2.471,1.185,4.544,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Heart Failure,low_n,8781,9,0.00102,9,3.33,2.703,1.236,5.132,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Osteoarthritis,low_n,8035,9,0.00112,9,7.61,1.183,0.541,2.246,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Cancer Other,low_n,9234,9,0.00097,9,3.64,2.472,1.13,4.693,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Atrial Fibrillation,low_n,3383,8,0.00236,8,5.31,1.505,0.65,2.966,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Atrial Fibrillation,Osteoarthritis,low_n,8030,8,0.001,8,7.14,1.121,0.484,2.209,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,COPD,low_n,6927,8,0.00115,8,4.54,1.762,0.761,3.471,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Cancer Prostate,low_n,8652,8,0.00092,8,5.94,1.347,0.582,2.655,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Atrial Fibrillation,low_n,8114,7,0.00086,7,6.11,1.146,0.461,2.36,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Osteoarthritis,low_n,7317,7,0.00096,7,6.62,1.058,0.425,2.179,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Atrial Fibrillation,Chronic Kidney Disease,low_n,8456,7,0.00083,7,2.76,2.537,1.02,5.227,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Stroke Cerebrovascular,low_n,6228,7,0.00112,7,4.55,1.538,0.618,3.168,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Peripheral Vascular Disease,low_n,6319,7,0.00111,7,2.8,2.499,1.005,5.15,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Heart Failure,Atrial Fibrillation,low_n,6390,7,0.0011,7,5.06,1.382,0.556,2.848,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Peripheral Vascular Disease,low_n,8744,7,0.0008,7,1.76,3.973,1.597,8.187,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Cancer Other,low_n,8258,7,0.00085,7,3.21,2.18,0.877,4.492,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Peripheral Vascular Disease,low_n,9701,7,0.00072,7,2.1,3.341,1.343,6.884,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,COPD,low_n,7842,7,0.00089,7,3.68,1.904,0.766,3.924,poisson_exact,includes_1,,,,,,,
Heart Failure,Atrial Fibrillation,Cancer Other,low_n,9562,7,0.00073,7,4.71,1.485,0.597,3.06,poisson_exact,includes_1,,,,,,,
Hypertension,Coronary Heart Disease,Stroke Cerebrovascular,low_n,3359,6,0.00179,6,2.57,2.338,0.858,5.09,poisson_exact,includes_1,,,,,,,
Hypertension,Coronary Heart Disease,Osteoarthritis,low_n,3081,6,0.00195,6,5.8,1.035,0.38,2.252,poisson_exact,includes_1,,,,,,,
Hypertension,Heart Failure,Atrial Fibrillation,low_n,3490,6,0.00172,6,2.69,2.229,0.818,4.851,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Other,low_n,7798,6,0.00077,6,3.41,1.761,0.646,3.832,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Anxiety,low_n,6293,6,0.00095,6,2.41,2.487,0.913,5.412,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Stroke Cerebrovascular,Atrial Fibrillation,low_n,6283,6,0.00095,6,4.18,1.437,0.527,3.128,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,COPD,low_n,7084,6,0.00085,6,3.0,2.0,0.734,4.352,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Cancer Other,low_n,8381,6,0.00072,6,7.16,0.839,0.308,1.825,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Substance Use Disorder,Cancer Other,low_n,9422,6,0.00064,6,0.93,6.443,2.365,14.024,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Substance Use Disorder,low_n,10058,6,0.0006,6,2.34,2.569,0.943,5.592,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Peripheral Vascular Disease,Cancer Other,low_n,9523,6,0.00063,6,2.32,2.587,0.949,5.631,poisson_exact,includes_1,,,,,,,
