disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Heart Failure,Peripheral Vascular Disease,validated,10378,30,0.00289,30,21.75,1.38,0.928,1.898,bootstrap,includes_1,0.9152,0.8802,0.9471,0.6334,0.2818,True,0.002869
Atrial Fibrillation,Chronic Kidney Disease,validated,9391,35,0.00373,35,37.09,0.944,0.647,1.246,bootstrap,includes_1,0.8919,0.8323,0.9352,0.6419,0.25,True,0.003599
Diabetes Mellitus,Atrial Fibrillation,validated,9172,35,0.00382,35,48.92,0.715,0.487,0.956,bootstrap,below_1,0.8728,0.8107,0.9221,0.6213,0.2515,True,0.003751
Heart Failure,Chronic Kidney Disease,validated,9593,33,0.00344,33,21.56,1.531,1.048,2.096,bootstrap,above_1,0.8627,0.7865,0.9269,0.6214,0.2413,True,0.003378
Diabetes Mellitus,Coronary Heart Disease,validated,8327,44,0.00528,44,45.84,0.96,0.705,1.254,bootstrap,includes_1,0.8599,0.818,0.8985,0.5535,0.3064,True,0.005162
Atrial Fibrillation,COPD,validated,7923,33,0.00417,33,40.47,0.815,0.532,1.108,bootstrap,includes_1,0.8122,0.733,0.8767,0.6147,0.1975,True,0.004152
Atrial Fibrillation,Peripheral Vascular Disease,validated,10143,48,0.00473,48,31.13,1.542,1.144,2.018,bootstrap,above_1,0.8059,0.7474,0.8608,0.6189,0.187,True,0.004659
Coronary Heart Disease,Peripheral Vascular Disease,validated,9104,44,0.00483,44,26.97,1.631,1.169,2.149,bootstrap,above_1,0.7973,0.7258,0.8626,0.6168,0.1805,True,0.004785
Atrial Fibrillation,Substance Use Disorder,validated,10155,35,0.00345,35,24.1,1.452,0.994,1.944,bootstrap,includes_1,0.7749,0.6822,0.8576,0.5383,0.2366,True,0.00343
Heart Failure,Atrial Fibrillation,validated,10191,132,0.01295,132,65.95,2.002,1.667,2.348,bootstrap,above_1,0.766,0.7209,0.8054,0.6002,0.1658,True,0.012434
Coronary Heart Disease,COPD,validated,7104,35,0.00493,35,35.95,0.974,0.65,1.293,bootstrap,includes_1,0.7336,0.6388,0.8152,0.5342,0.1994,True,0.004911
Coronary Heart Disease,Heart Failure,validated,9147,101,0.01104,101,52.42,1.927,1.557,2.294,bootstrap,above_1,0.7298,0.6781,0.7809,0.5992,0.1306,True,0.010832
Atrial Fibrillation,Osteoarthritis,validated,8992,82,0.00912,82,118.73,0.691,0.547,0.847,bootstrap,below_1,0.7163,0.6624,0.769,0.5483,0.168,True,0.008973
Atrial Fibrillation,Cancer Other,validated,9664,55,0.00569,55,67.0,0.821,0.612,1.041,bootstrap,includes_1,0.708,0.6283,0.7806,0.5327,0.1753,True,0.00563
Coronary Heart Disease,Cancer Other,validated,8604,47,0.00546,47,62.66,0.75,0.567,0.946,bootstrap,below_1,0.7054,0.643,0.766,0.6575,0.0479,True,0.005411
Stroke Cerebrovascular,Atrial Fibrillation,validated,9831,81,0.00824,81,51.55,1.571,1.24,1.912,bootstrap,above_1,0.6954,0.6337,0.7555,0.6006,0.0948,True,0.008167
Coronary Heart Disease,Osteoarthritis,validated,8063,75,0.0093,75,113.12,0.663,0.521,0.804,bootstrap,below_1,0.6844,0.6191,0.7415,0.5325,0.1519,True,0.009201
Stroke Cerebrovascular,Cancer Other,validated,9545,39,0.00409,39,31.8,1.226,0.881,1.629,bootstrap,includes_1,0.6815,0.5879,0.7644,0.6002,0.0813,True,0.004066
Coronary Heart Disease,Stroke Cerebrovascular,validated,8811,62,0.00704,62,47.38,1.308,0.984,1.626,bootstrap,includes_1,0.6629,0.5938,0.7262,0.59,0.0729,True,0.006987
Hyperlipidemia,Coronary Heart Disease,validated,6346,119,0.01875,119,81.07,1.468,1.214,1.741,bootstrap,above_1,0.6513,0.5992,0.7032,0.4915,0.1598,True,0.018304
Coronary Heart Disease,Atrial Fibrillation,validated,8938,143,0.016,143,97.3,1.47,1.228,1.694,bootstrap,above_1,0.6482,0.5969,0.6929,0.5719,0.0763,True,0.015661
Hyperlipidemia,Osteoarthritis,validated,5766,34,0.0059,34,82.85,0.41,0.278,0.544,bootstrap,below_1,0.6326,0.5284,0.7329,0.5027,0.1299,True,0.00595
Osteoarthritis,Cancer Other,validated,8754,41,0.00468,41,74.33,0.552,0.401,0.711,bootstrap,below_1,0.6232,0.5333,0.7128,0.5631,0.0601,True,0.004682
Cancer Prostate,Cancer Other,validated,9725,37,0.0038,37,34.26,1.08,0.727,1.421,bootstrap,includes_1,0.6196,0.5465,0.6918,0.6216,-0.002,False,0.003789
Hypertension,Coronary Heart Disease,validated,3433,55,0.01602,55,52.38,1.05,0.777,1.328,bootstrap,includes_1,0.6154,0.5433,0.6868,0.4755,0.1399,True,0.015767
Atrial Fibrillation,Cancer Prostate,validated,9976,35,0.00351,35,52.64,0.665,0.438,0.905,bootstrap,below_1,0.6005,0.5008,0.6971,0.5598,0.0407,True,0.0035
Osteoarthritis,Cancer Prostate,validated,9049,42,0.00464,42,63.88,0.657,0.468,0.862,bootstrap,below_1,0.5764,0.4847,0.6649,0.5919,-0.0155,False,0.004627
Hyperlipidemia,Atrial Fibrillation,validated,6403,44,0.00687,44,66.32,0.663,0.478,0.857,bootstrap,below_1,0.5269,0.457,0.5979,0.4965,0.0304,True,0.006916
Stroke Cerebrovascular,Substance Use Disorder,low_n,10038,29,0.00289,29,12.34,2.35,1.574,3.375,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Cancer Other,low_n,8912,28,0.00314,28,31.74,0.882,0.586,1.275,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Cancer Prostate,low_n,8886,28,0.00315,28,52.73,0.531,0.353,0.767,poisson_exact,below_1,,,,,,,
Hypertension,Atrial Fibrillation,low_n,3497,27,0.00772,27,44.68,0.604,0.398,0.879,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Chronic Kidney Disease,low_n,8462,27,0.00319,27,33.3,0.811,0.534,1.18,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Heart Failure,low_n,10028,27,0.00269,27,30.33,0.89,0.587,1.295,poisson_exact,includes_1,,,,,,,
