disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Coronary Heart Disease,Heart Failure,Atrial Fibrillation,validated,8922,42,0.00471,42,7.66,5.482,3.882,7.136,bootstrap,above_1,0.7508,0.6708,0.832,0.6121,0.1387,True,0.004671
Hyperlipidemia,Coronary Heart Disease,Atrial Fibrillation,low_n,6214,22,0.00354,22,7.68,2.866,1.796,4.34,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Atrial Fibrillation,low_n,8602,20,0.00233,20,5.54,3.609,2.204,5.573,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Osteoarthritis,low_n,7857,18,0.00229,18,11.95,1.506,0.893,2.38,poisson_exact,includes_1,,,,,,,
Heart Failure,Atrial Fibrillation,Peripheral Vascular Disease,low_n,10046,15,0.00149,15,3.88,3.87,2.166,6.384,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Chronic Kidney Disease,low_n,9319,15,0.00161,15,3.13,4.79,2.681,7.9,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Osteoarthritis,low_n,8908,13,0.00146,13,8.61,1.51,0.804,2.582,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Heart Failure,low_n,6327,12,0.0019,12,3.98,3.012,1.557,5.262,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Peripheral Vascular Disease,low_n,9069,12,0.00132,12,2.75,4.37,2.258,7.633,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Chronic Kidney Disease,low_n,8437,12,0.00142,12,2.24,5.362,2.771,9.367,poisson_exact,above_1,,,,,,,
Hypertension,Hyperlipidemia,Coronary Heart Disease,low_n,2839,11,0.00387,11,4.98,2.21,1.103,3.954,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Peripheral Vascular Disease,low_n,8865,11,0.00124,11,3.54,3.111,1.553,5.567,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Heart Failure,Atrial Fibrillation,low_n,9090,10,0.0011,10,4.2,2.38,1.141,4.377,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Osteoarthritis,low_n,5588,10,0.00179,10,9.15,1.093,0.524,2.01,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Heart Failure,Atrial Fibrillation,low_n,9739,10,0.00103,10,4.81,2.078,0.996,3.821,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Heart Failure,low_n,8781,9,0.00102,9,3.69,2.439,1.115,4.631,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Osteoarthritis,low_n,8035,9,0.00112,9,6.55,1.374,0.628,2.608,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Cancer Other,low_n,9234,9,0.00097,9,3.99,2.258,1.033,4.287,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Atrial Fibrillation,low_n,3383,8,0.00236,8,4.67,1.715,0.74,3.378,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Atrial Fibrillation,Osteoarthritis,low_n,8030,8,0.001,8,6.19,1.292,0.558,2.545,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,COPD,low_n,6927,8,0.00115,8,4.41,1.816,0.784,3.578,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Cancer Prostate,low_n,8652,8,0.00092,8,5.09,1.573,0.679,3.099,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Atrial Fibrillation,low_n,8114,7,0.00086,7,5.07,1.379,0.555,2.842,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Osteoarthritis,low_n,7317,7,0.00096,7,5.5,1.272,0.511,2.62,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Atrial Fibrillation,Chronic Kidney Disease,low_n,8456,7,0.00083,7,2.13,3.289,1.322,6.777,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Stroke Cerebrovascular,low_n,6228,7,0.00112,7,3.99,1.753,0.705,3.611,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Peripheral Vascular Disease,low_n,6319,7,0.00111,7,2.09,3.356,1.349,6.916,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Heart Failure,Atrial Fibrillation,low_n,6390,7,0.0011,7,3.87,1.81,0.728,3.73,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Peripheral Vascular Disease,low_n,8744,7,0.0008,7,1.89,3.696,1.486,7.615,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,Cancer Other,low_n,8258,7,0.00085,7,3.37,2.076,0.835,4.278,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,Peripheral Vascular Disease,low_n,9701,7,0.00072,7,2.32,3.021,1.215,6.225,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,COPD,low_n,7842,7,0.00089,7,4.24,1.653,0.664,3.405,poisson_exact,includes_1,,,,,,,
Heart Failure,Atrial Fibrillation,Cancer Other,low_n,9562,7,0.00073,7,5.64,1.24,0.499,2.555,poisson_exact,includes_1,,,,,,,
Hypertension,Coronary Heart Disease,Stroke Cerebrovascular,low_n,3359,6,0.00179,6,2.41,2.49,0.914,5.421,poisson_exact,includes_1,,,,,,,
Hypertension,Coronary Heart Disease,Osteoarthritis,low_n,3081,6,0.00195,6,5.81,1.033,0.379,2.249,poisson_exact,includes_1,,,,,,,
Hypertension,Heart Failure,Atrial Fibrillation,low_n,3490,6,0.00172,6,2.19,2.743,1.007,5.97,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Cancer Other,low_n,7798,6,0.00077,6,3.21,1.868,0.685,4.065,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Anxiety,low_n,6293,6,0.00095,6,1.94,3.097,1.137,6.742,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Stroke Cerebrovascular,Atrial Fibrillation,low_n,6283,6,0.00095,6,3.46,1.732,0.635,3.769,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Heart Failure,COPD,low_n,7084,6,0.00085,6,3.13,1.92,0.705,4.179,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Atrial Fibrillation,Cancer Other,low_n,8381,6,0.00072,6,6.93,0.866,0.318,1.884,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Substance Use Disorder,Cancer Other,low_n,9422,6,0.00064,6,1.11,5.414,1.987,11.783,poisson_exact,above_1,,,,,,,
Heart Failure,Atrial Fibrillation,Substance Use Disorder,low_n,10058,6,0.0006,6,2.43,2.467,0.905,5.369,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Peripheral Vascular Disease,Cancer Other,low_n,9523,6,0.00063,6,2.59,2.314,0.849,5.037,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Substance Use Disorder,Osteoarthritis,low_n,8870,6,0.00068,6,2.89,2.079,0.763,4.525,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Osteoarthritis,Cancer Prostate,low_n,8719,6,0.00069,6,6.33,0.948,0.348,2.064,poisson_exact,includes_1,,,,,,,
Hypertension,Diabetes Mellitus,Coronary Heart Disease,low_n,3303,5,0.00151,5,2.53,1.976,0.642,4.612,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Coronary Heart Disease,Stroke Cerebrovascular,low_n,8012,5,0.00062,5,2.36,2.122,0.689,4.953,poisson_exact,includes_1,,,,,,,
