disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Diabetes Mellitus,Coronary Heart Disease,validated,13360,36,0.00269,36,28.77,1.251,0.861,1.716,bootstrap,includes_1,0.7829,0.7124,0.8456,0.5749,0.208,True,0.002687
Heart Failure,Atrial Fibrillation,validated,14501,44,0.00303,44,10.63,4.141,2.999,5.387,bootstrap,above_1,0.7319,0.6577,0.8009,0.627,0.1049,True,0.003023
Hypertension,Coronary Heart Disease,validated,7942,44,0.00554,44,23.74,1.854,1.34,2.408,bootstrap,above_1,0.7078,0.63,0.7811,0.5802,0.1276,True,0.005508
Coronary Heart Disease,Atrial Fibrillation,validated,13951,50,0.00358,50,28.32,1.766,1.308,2.279,bootstrap,above_1,0.7019,0.6317,0.7619,0.6351,0.0668,True,0.003571
Hyperlipidemia,Coronary Heart Disease,validated,11565,116,0.01003,116,36.9,3.143,2.593,3.708,bootstrap,above_1,0.6909,0.6436,0.7333,0.6535,0.0374,True,0.009961
Coronary Heart Disease,Heart Failure,validated,14030,53,0.00378,53,15.68,3.381,2.482,4.423,bootstrap,above_1,0.6752,0.6052,0.7522,0.6178,0.0574,True,0.003767
Hypertension,Hyperlipidemia,low_n,7079,28,0.00396,28,19.36,1.446,0.961,2.09,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Osteoarthritis,low_n,13255,26,0.00196,26,56.69,0.459,0.3,0.672,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,low_n,13829,25,0.00181,25,13.76,1.817,1.176,2.682,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Hyperlipidemia,low_n,11427,24,0.0021,24,22.92,1.047,0.671,1.558,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Peripheral Vascular Disease,low_n,14001,22,0.00157,22,9.12,2.412,1.511,3.651,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,low_n,14283,20,0.0014,20,8.34,2.398,1.464,3.703,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Atrial Fibrillation,low_n,11598,19,0.00164,19,19.68,0.966,0.581,1.508,poisson_exact,includes_1,,,,,,,
Hypertension,Diabetes Mellitus,low_n,7832,18,0.0023,18,13.9,1.295,0.768,2.047,poisson_exact,includes_1,,,,,,,
Hypertension,Osteoarthritis,low_n,7625,18,0.00236,18,26.25,0.686,0.406,1.084,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Cancer Other,low_n,14081,17,0.00121,17,12.74,1.335,0.778,2.137,poisson_exact,includes_1,,,,,,,
Chronic Liver Disease,Substance Use Disorder,low_n,14198,17,0.0012,17,6.29,2.705,1.576,4.331,poisson_exact,above_1,,,,,,,
Depression,Substance Use Disorder,low_n,13430,17,0.00127,17,8.95,1.9,1.107,3.043,poisson_exact,above_1,,,,,,,
Hypertension,Stroke Cerebrovascular,low_n,7960,16,0.00201,16,6.41,2.496,1.427,4.053,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,COPD,low_n,12194,16,0.00131,16,14.26,1.122,0.641,1.823,poisson_exact,includes_1,,,,,,,
Depression,Anxiety,low_n,13519,16,0.00118,16,9.53,1.678,0.959,2.726,poisson_exact,includes_1,,,,,,,
Hypertension,Atrial Fibrillation,low_n,7989,15,0.00188,15,12.13,1.236,0.692,2.039,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Cancer Other,low_n,13432,15,0.00112,15,11.24,1.334,0.747,2.2,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Stroke Cerebrovascular,low_n,11574,15,0.0013,15,9.9,1.515,0.848,2.499,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Osteoarthritis,low_n,13569,15,0.00111,15,15.9,0.944,0.528,1.556,poisson_exact,includes_1,,,,,,,
Hypertension,Cancer Other,low_n,7778,14,0.0018,14,9.74,1.438,0.786,2.412,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Osteoarthritis,low_n,13091,14,0.00107,14,34.77,0.403,0.22,0.675,poisson_exact,below_1,,,,,,,
Hyperlipidemia,Osteoarthritis,low_n,11062,14,0.00127,14,40.63,0.345,0.188,0.578,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Cancer Prostate,low_n,13990,14,0.001,14,15.61,0.897,0.49,1.505,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Peripheral Vascular Disease,low_n,14488,14,0.00097,14,5.64,2.48,1.356,4.162,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Sleep Apnea,low_n,13769,13,0.00094,13,16.45,0.79,0.421,1.351,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Anxiety,low_n,13859,13,0.00094,13,19.31,0.673,0.358,1.151,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Substance Use Disorder,low_n,14302,13,0.00091,13,11.29,1.151,0.613,1.969,poisson_exact,includes_1,,,,,,,
Substance Use Disorder,Osteoarthritis,low_n,13583,13,0.00096,13,21.11,0.616,0.328,1.053,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Heart Failure,low_n,11664,12,0.00103,12,10.21,1.175,0.607,2.053,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Cancer Prostate,low_n,11633,12,0.00103,12,11.47,1.046,0.541,1.827,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Cancer Other,low_n,13592,12,0.00088,12,20.76,0.578,0.299,1.01,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,COPD,low_n,12627,12,0.00095,12,9.27,1.294,0.669,2.26,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Peripheral Vascular Disease,low_n,14344,11,0.00077,11,2.99,3.677,1.836,6.58,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Substance Use Disorder,low_n,14164,11,0.00078,11,5.9,1.865,0.931,3.336,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Cancer Prostate,low_n,14505,11,0.00076,11,9.38,1.172,0.585,2.098,poisson_exact,includes_1,,,,,,,
Hypertension,Heart Failure,low_n,8018,10,0.00125,10,6.31,1.586,0.76,2.916,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Stroke Cerebrovascular,low_n,13637,10,0.00073,10,8.12,1.232,0.591,2.266,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Depression,low_n,13057,10,0.00077,10,16.13,0.62,0.297,1.14,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Substance Use Disorder,low_n,13817,10,0.00072,10,18.2,0.549,0.263,1.01,poisson_exact,includes_1,,,,,,,
Depression,Osteoarthritis,low_n,12846,10,0.00078,10,19.4,0.516,0.247,0.948,poisson_exact,below_1,,,,,,,
Osteoarthritis,Cancer Other,low_n,13374,10,0.00075,10,25.39,0.394,0.189,0.724,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Heart Failure,low_n,13814,9,0.00065,9,10.71,0.84,0.384,1.595,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Atrial Fibrillation,low_n,13761,9,0.00065,9,17.54,0.513,0.235,0.974,poisson_exact,below_1,,,,,,,
Diabetes Mellitus,Substance Use Disorder,low_n,13638,9,0.00066,9,11.07,0.813,0.372,1.544,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Sleep Apnea,low_n,13932,9,0.00065,9,18.67,0.482,0.22,0.915,poisson_exact,below_1,,,,,,,
Stroke Cerebrovascular,Heart Failure,low_n,14336,9,0.00063,9,4.82,1.868,0.854,3.545,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Depression,low_n,13369,9,0.00067,9,4.94,1.823,0.833,3.46,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Cancer Other,low_n,13936,9,0.00065,9,6.07,1.484,0.678,2.816,poisson_exact,includes_1,,,,,,,
