disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Hyperlipidemia,Coronary Heart Disease,low_n,7037,19,0.0027,19,1.64,11.559,6.959,18.05,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Coronary Heart Disease,low_n,11317,11,0.00097,11,2.3,4.788,2.39,8.567,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Atrial Fibrillation,low_n,13933,11,0.00079,11,1.16,9.49,4.738,16.981,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Heart Failure,low_n,11550,9,0.00078,9,1.1,8.167,3.734,15.503,poisson_exact,above_1,,,,,,,
Hypertension,Diabetes Mellitus,Coronary Heart Disease,low_n,7761,7,0.0009,7,1.31,5.359,2.155,11.042,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Atrial Fibrillation,low_n,11486,6,0.00052,6,1.82,3.306,1.213,7.195,poisson_exact,above_1,,,,,,,
Hypertension,Diabetes Mellitus,Hyperlipidemia,low_n,6994,5,0.00071,5,1.19,4.186,1.359,9.769,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Heart Failure,low_n,7939,5,0.00063,5,0.62,8.041,2.611,18.766,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Osteoarthritis,low_n,7556,5,0.00066,5,2.0,2.501,0.812,5.836,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Depression,low_n,10822,5,0.00046,5,1.05,4.777,1.551,11.147,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Osteoarthritis,low_n,10957,5,0.00046,5,3.35,1.493,0.485,3.485,poisson_exact,includes_1,,,,,,,
