disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Diabetes Mellitus,Coronary Heart Disease,validated,13360,36,0.00269,36,29.2,1.233,0.848,1.683,bootstrap,includes_1,0.8883,0.8485,0.9224,0.5749,0.3134,True,0.002663
Hypertension,Coronary Heart Disease,validated,7942,44,0.00554,44,29.5,1.491,1.087,1.944,bootstrap,above_1,0.7728,0.6998,0.8351,0.5802,0.1926,True,0.005443
Hyperlipidemia,Coronary Heart Disease,validated,11565,116,0.01003,116,36.64,3.166,2.612,3.724,bootstrap,above_1,0.7632,0.7215,0.799,0.6535,0.1097,True,0.009914
Heart Failure,Atrial Fibrillation,validated,14501,44,0.00303,44,12.02,3.66,2.653,4.782,bootstrap,above_1,0.7566,0.681,0.8282,0.627,0.1296,True,0.003026
Coronary Heart Disease,Heart Failure,validated,14030,53,0.00378,53,17.08,3.103,2.285,4.093,bootstrap,above_1,0.75,0.6846,0.8156,0.6178,0.1322,True,0.003753
Coronary Heart Disease,Atrial Fibrillation,validated,13951,50,0.00358,50,28.85,1.733,1.286,2.233,bootstrap,above_1,0.7485,0.6775,0.8167,0.6351,0.1134,True,0.003564
Hypertension,Hyperlipidemia,low_n,7079,28,0.00396,28,21.99,1.273,0.846,1.84,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Osteoarthritis,low_n,13255,26,0.00196,26,57.5,0.452,0.295,0.662,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Stroke Cerebrovascular,low_n,13829,25,0.00181,25,14.82,1.686,1.091,2.49,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Hyperlipidemia,low_n,11427,24,0.0021,24,21.26,1.129,0.723,1.68,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Peripheral Vascular Disease,low_n,14001,22,0.00157,22,10.54,2.086,1.308,3.159,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Atrial Fibrillation,low_n,14283,20,0.0014,20,9.09,2.201,1.344,3.399,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Atrial Fibrillation,low_n,11598,19,0.00164,19,18.14,1.047,0.63,1.635,poisson_exact,includes_1,,,,,,,
Hypertension,Diabetes Mellitus,low_n,7832,18,0.0023,18,17.61,1.022,0.606,1.615,poisson_exact,includes_1,,,,,,,
Hypertension,Osteoarthritis,low_n,7625,18,0.00236,18,36.3,0.496,0.294,0.784,poisson_exact,below_1,,,,,,,
Atrial Fibrillation,Cancer Other,low_n,14081,17,0.00121,17,13.75,1.236,0.72,1.979,poisson_exact,includes_1,,,,,,,
Chronic Liver Disease,Substance Use Disorder,low_n,14198,17,0.0012,17,7.69,2.21,1.288,3.539,poisson_exact,above_1,,,,,,,
Depression,Substance Use Disorder,low_n,13430,17,0.00127,17,7.82,2.173,1.266,3.479,poisson_exact,above_1,,,,,,,
Hypertension,Stroke Cerebrovascular,low_n,7960,16,0.00201,16,7.47,2.141,1.224,3.476,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,COPD,low_n,12194,16,0.00131,16,14.64,1.093,0.625,1.775,poisson_exact,includes_1,,,,,,,
Depression,Anxiety,low_n,13519,16,0.00118,16,7.6,2.104,1.203,3.417,poisson_exact,above_1,,,,,,,
Hypertension,Atrial Fibrillation,low_n,7989,15,0.00188,15,15.04,0.997,0.558,1.645,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Cancer Other,low_n,13432,15,0.00112,15,12.27,1.222,0.684,2.015,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Stroke Cerebrovascular,low_n,11574,15,0.0013,15,9.98,1.502,0.841,2.478,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Osteoarthritis,low_n,13569,15,0.00111,15,16.3,0.92,0.515,1.518,poisson_exact,includes_1,,,,,,,
Hypertension,Cancer Other,low_n,7778,14,0.0018,14,13.21,1.06,0.58,1.779,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,Osteoarthritis,low_n,13091,14,0.00107,14,33.85,0.414,0.226,0.694,poisson_exact,below_1,,,,,,,
Hyperlipidemia,Osteoarthritis,low_n,11062,14,0.00127,14,39.26,0.357,0.195,0.598,poisson_exact,below_1,,,,,,,
Coronary Heart Disease,Cancer Prostate,low_n,13990,14,0.001,14,15.63,0.895,0.49,1.502,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Peripheral Vascular Disease,low_n,14488,14,0.00097,14,6.51,2.15,1.176,3.608,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Sleep Apnea,low_n,13769,13,0.00094,13,15.21,0.855,0.455,1.462,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Anxiety,low_n,13859,13,0.00094,13,18.08,0.719,0.383,1.23,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Substance Use Disorder,low_n,14302,13,0.00091,13,10.54,1.233,0.657,2.109,poisson_exact,includes_1,,,,,,,
Substance Use Disorder,Osteoarthritis,low_n,13583,13,0.00096,13,19.91,0.653,0.348,1.116,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Heart Failure,low_n,11664,12,0.00103,12,9.81,1.223,0.632,2.136,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Cancer Prostate,low_n,11633,12,0.00103,12,10.96,1.094,0.566,1.912,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Cancer Other,low_n,13592,12,0.00088,12,22.25,0.539,0.279,0.942,poisson_exact,below_1,,,,,,,
Atrial Fibrillation,COPD,low_n,12627,12,0.00095,12,9.18,1.307,0.675,2.283,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Peripheral Vascular Disease,low_n,14344,11,0.00077,11,3.86,2.852,1.424,5.103,poisson_exact,above_1,,,,,,,
Stroke Cerebrovascular,Substance Use Disorder,low_n,14164,11,0.00078,11,6.28,1.752,0.875,3.135,poisson_exact,includes_1,,,,,,,
Atrial Fibrillation,Cancer Prostate,low_n,14505,11,0.00076,11,9.16,1.201,0.599,2.148,poisson_exact,includes_1,,,,,,,
