disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Hyperlipidemia,Coronary Heart Disease,low_n,7037,19,0.0027,19,1.72,11.073,6.667,17.292,poisson_exact,above_1,,,,,,,
Diabetes Mellitus,Hyperlipidemia,Coronary Heart Disease,low_n,11317,11,0.00097,11,2.19,5.033,2.513,9.006,poisson_exact,above_1,,,,,,,
Coronary Heart Disease,Heart Failure,Atrial Fibrillation,low_n,13933,11,0.00079,11,1.43,7.697,3.842,13.772,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Heart Failure,low_n,11550,9,0.00078,9,1.12,8.045,3.679,15.272,poisson_exact,above_1,,,,,,,
Hypertension,Diabetes Mellitus,Coronary Heart Disease,low_n,7761,7,0.0009,7,1.49,4.7,1.889,9.683,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Atrial Fibrillation,low_n,11486,6,0.00052,6,1.76,3.412,1.252,7.427,poisson_exact,above_1,,,,,,,
Hypertension,Diabetes Mellitus,Hyperlipidemia,low_n,6994,5,0.00071,5,1.3,3.845,1.249,8.973,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Heart Failure,low_n,7939,5,0.00063,5,0.76,6.599,2.143,15.399,poisson_exact,above_1,,,,,,,
Hypertension,Coronary Heart Disease,Osteoarthritis,low_n,7556,5,0.00066,5,2.48,2.019,0.656,4.712,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Depression,low_n,10822,5,0.00046,5,0.95,5.237,1.701,12.222,poisson_exact,above_1,,,,,,,
Hyperlipidemia,Coronary Heart Disease,Osteoarthritis,low_n,10957,5,0.00046,5,3.16,1.583,0.514,3.695,poisson_exact,includes_1,,,,,,,
Heart Failure,Atrial Fibrillation,Chronic Kidney Disease,low_n,14219,5,0.00035,5,0.42,11.814,3.836,27.57,poisson_exact,above_1,,,,,,,
Hypertension,Diabetes Mellitus,Stroke Cerebrovascular,suppressed,7771,,,,0.37,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Heart Failure,suppressed,7828,,,,0.52,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Atrial Fibrillation,suppressed,7799,,,,0.76,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Peripheral Vascular Disease,suppressed,7814,,,,0.28,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,COPD,suppressed,6779,,,,0.56,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Kidney Disease,suppressed,7764,,,,0.33,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Chronic Liver Disease,suppressed,7710,,,,0.39,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Depression,suppressed,7324,,,,0.54,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Substance Use Disorder,suppressed,7746,,,,0.46,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Osteoarthritis,suppressed,7449,,,,1.67,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Hypothyroidism,suppressed,7741,,,,0.18,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Sleep Apnea,suppressed,7786,,,,0.85,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Lung,suppressed,7826,,,,0.13,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Colorectal,suppressed,7809,,,,0.17,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Prostate,suppressed,7806,,,,0.3,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Cancer Other,suppressed,7603,,,,0.59,,,,,,,,,,,,
Hypertension,Diabetes Mellitus,Anxiety,suppressed,7730,,,,0.52,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Stroke Cerebrovascular,suppressed,7036,,,,0.43,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Heart Failure,suppressed,7076,,,,0.49,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Atrial Fibrillation,suppressed,7051,,,,0.82,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Peripheral Vascular Disease,suppressed,7068,,,,0.34,,,,,,,,,,,,
Hypertension,Hyperlipidemia,COPD,suppressed,6124,,,,0.53,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Kidney Disease,suppressed,7015,,,,0.38,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Chronic Liver Disease,suppressed,6970,,,,0.36,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Depression,suppressed,6636,,,,0.54,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Substance Use Disorder,suppressed,7004,,,,0.51,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Osteoarthritis,suppressed,6745,,,,1.83,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Hypothyroidism,suppressed,7006,,,,0.19,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Sleep Apnea,suppressed,7039,,,,0.64,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Lung,suppressed,7073,,,,0.17,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Colorectal,suppressed,7056,,,,0.21,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Prostate,suppressed,7053,,,,0.47,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Cancer Other,suppressed,6871,,,,0.69,,,,,,,,,,,,
Hypertension,Hyperlipidemia,Anxiety,suppressed,6995,,,,0.58,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Stroke Cerebrovascular,suppressed,7887,,,,0.62,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Atrial Fibrillation,suppressed,7914,,,,1.17,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Peripheral Vascular Disease,suppressed,7924,,,,0.49,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,COPD,suppressed,6879,,,,0.76,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Chronic Kidney Disease,suppressed,7868,,,,0.51,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Chronic Liver Disease,suppressed,7817,,,,0.5,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Depression,suppressed,7421,,,,0.79,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Substance Use Disorder,suppressed,7850,,,,0.76,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Hypothyroidism,suppressed,7845,,,,0.25,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Sleep Apnea,suppressed,7892,,,,0.86,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Lung,suppressed,7935,,,,0.25,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Colorectal,suppressed,7918,,,,0.28,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Prostate,suppressed,7916,,,,0.62,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Cancer Other,suppressed,7702,,,,1.0,,,,,,,,,,,,
Hypertension,Coronary Heart Disease,Anxiety,suppressed,7840,,,,0.8,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Heart Failure,suppressed,7956,,,,0.23,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Atrial Fibrillation,suppressed,7929,,,,0.33,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Peripheral Vascular Disease,suppressed,7942,,,,0.15,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,COPD,suppressed,6897,,,,0.22,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Kidney Disease,suppressed,7886,,,,0.17,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Liver Disease,suppressed,7837,,,,0.13,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Depression,suppressed,7438,,,,0.21,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Substance Use Disorder,suppressed,7870,,,,0.27,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Osteoarthritis,suppressed,7570,,,,0.63,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Hypothyroidism,suppressed,7863,,,,0.07,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Sleep Apnea,suppressed,7910,,,,0.22,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Lung,suppressed,7954,,,,0.08,,,,,,,,,,,,
